StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,regret_yn,decision,regret_intensity_1,regret_regulation,regret_regulation_7_TEXT,rumination,reverse_1,reverse_2,reverse_3,reverse_4,resolved,emo_event,rumination_nr,emotions_1,emotions_2,emotions_3,emotions_4,emotions_5,emotions_6,emotions_7,emotions_8,regret_intensity_1,regret_regulation,regret_regulation_7_TEXT,rumination,reverse_1,reverse_2,reverse_3,reverse_4,resolved,PID,DAY_NUM,SURVEY_TYPE,DECISION_TO_SHOW,NEXT_SURVEY,DECISION
2025-04-13 17:54:46,2025-04-13 17:55:02,IP Address,172.59.161.247,100,15,True,2025-04-13 17:55:03,R_5pRntMii9VmmeAF,Participant,Participant,kpetrova@stanford.edu,111111,37.3209,-121.9126,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,Haven't thought about it at all,,,,,"No, I might feel regret or think more about this situation in the near future",111111,0,followup,,,
2025-04-13 18:14:18,2025-04-13 18:14:34,IP Address,98.47.29.95,100,15,True,2025-04-13 18:14:34,R_1DkaxrOdKxcbQkH,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,Haven't thought about it at all,,,,,"Yes, I think this situation is resolved",111111,0,followup,,general,
2025-04-13 20:23:03,2025-04-13 20:24:23,IP Address,98.47.29.95,100,79,True,2025-04-13 20:24:24,R_6wH62xcW8dQthiV,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,Yes,"I went to look for dresses but didn’t find any, now I feel like my weekend could have been better spent",32,"I did something pleasurable to compensate for the negativity (like going for a walk, playing a video game, or eating a sweet treat)",,Thought about it a little,,32,,,"Yes, I think this situation is resolved",,,,,,,,,,,,,,,,,,,,111111,0,general,,general,
2025-04-13 20:37:07,2025-04-13 20:37:29,IP Address,98.47.29.95,100,22,True,2025-04-13 20:37:29,R_3pmwG0dEEmb0IPN,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,Yes,Test,20,,,,,,,,"No, I might feel regret or think more about this situation in the near future",,,,,,,,,,,,,,,,,,,,111111,0,general,,followup,
2025-04-16 11:01:15,2025-04-16 11:02:22,IP Address,98.47.29.95,100,67,True,2025-04-16 11:02:23,R_57DMwke9dAeJgCN,Participant,Participant,kpetrova@stanford.edu,000000,37.3177,-122.0438,anonymous,EN,Yes,"I regret not buying a laxative to alleviate the symptoms of my pain medication ",32,"I tried to (or made a plan to) change the situation.,I turned to someone else for support or comfort.",,Thought about it a lot,,36,16,,"No, I might feel regret or think more about this situation in the near future",,,,,,,,,,,,,,,,,,,,000000,3,,,followup,
2025-04-16 11:08:05,2025-04-16 11:08:06,IP Address,98.47.29.95,67,0,False,2025-04-16 12:08:07,R_7q1u6idYg6bqTHV,Participant,Participant,kpetrova@stanford.edu,111111,37.3177,-122.0438,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,1,followup,,,
2025-04-16 13:48:24,2025-04-16 13:48:25,IP Address,98.47.29.95,67,0,False,2025-04-16 14:48:29,R_5YbT4qeftzyTjvy,Participant,Participant,kpetrova@stanford.edu,000000,37.3177,-122.0438,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,3,followup,,,
2025-04-16 16:38:05,2025-04-16 16:38:15,IP Address,98.47.29.95,100,9,True,2025-04-16 16:38:15,R_37rNeM2mymOfieU,Participant,Participant,kpetrova@stanford.edu,000000,37.3177,-122.0438,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I think this situation is resolved",000000,3,followup,,general,
2025-04-16 18:44:11,2025-04-16 18:44:55,IP Address,98.47.29.95,100,44,True,2025-04-16 18:44:56,R_1JZXwFJmFi8Ae41,Participant,Participant,kpetrova@stanford.edu,000000,37.3177,-122.0438,anonymous,EN,Yes,"I regret not being more productive today ",34,"I thought of other ways to interpret the situation.,I tried to distract myself from the event or my emotions.",,Thought about it a little,,,32,,"No, I might feel regret or think more about this situation in the near future",,,,,,,,,,,,,,,,,,,,000000,3,general,,followup,"I regret not being more productive today "
2025-04-17 09:54:10,2025-04-17 10:21:14,IP Address,172.56.209.152,100,1623,True,2025-04-17 10:21:14,R_7XNL3ab6FEoZZYZ,Participant,Participant,kpetrova@stanford.edu,112036,36.2158,-115.066,anonymous,EN,No,,,,,,,,,,,It was my brother's birthday yesterday and I was super happy celebrating with him,Thought about it a lot,81,55,35,,6,72,,21,,,,,,,,,,112036,1,,,general,
2025-04-17 10:51:17,2025-04-17 10:52:40,IP Address,170.85.54.89,100,82,True,2025-04-17 10:52:41,R_3ay2xym4AiZFpst,Participant,Participant,kpetrova@stanford.edu,112045,34.0544,-118.244,anonymous,EN,No,,,,,,,,,,,"Trying to wake up a teenage boy for school for sure makes a lot of negative emotions regulate ",Thought about it a little,100,63,,,23,100,,,,,,,,,,,,112045,1,,,general,
2025-04-17 11:28:12,2025-04-17 11:28:49,IP Address,98.47.29.95,100,37,True,2025-04-17 11:28:50,R_1e8Vie32s6mR1ql,Participant,Participant,kpetrova@stanford.edu,000000,37.3177,-122.0438,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,20,"I thought of other ways to interpret the situation.,I tried to (or made a plan to) change the situation.",,Thought about it a little,10,0,36,,"Yes, I think this situation is resolved",000000,4,followup,I regret not being more productive today,general,
2025-04-17 11:48:35,2025-04-17 11:51:18,IP Address,166.205.87.74,100,163,True,2025-04-17 11:51:19,R_1VrKgHVeIGaZHW3,Participant,Participant,kpetrova@stanford.edu,111592,37.7201,-122.4414,anonymous,EN,No,,,,,,,,,,,"Frustration. I’m in the process of a break up, so my previous partner’s lack of empathy has been frustrating to have to deal with. ",Thought about it a little,86,100,27,9,17,80,,65,,,,,,,,,,111592,1,,,general,
2025-04-17 13:14:18,2025-04-17 13:15:25,IP Address,136.226.64.116,100,67,True,2025-04-17 13:15:26,R_5Sd5PVNA3uzKomt,Participant,Participant,kpetrova@stanford.edu,112045,34.0544,-118.244,anonymous,EN,No,,,,,,,,,,,I was super upset with my boyfriend because he watched daredevil without me!,Thought about it a little,2,,2,95,51,3,,53,,,,,,,,,,112045,1,general,,general,
2025-04-17 13:14:15,2025-04-17 13:16:35,IP Address,172.56.209.78,100,139,True,2025-04-17 13:16:35,R_7WBTjfdkmzVA3M8,Participant,Participant,kpetrova@stanford.edu,112036,36.2158,-115.066,anonymous,EN,Yes,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.,20,I tried to accept the situation and my feelings.,,Haven't thought about it at all,10,94,86,,"Yes, I think this situation is resolved",,,,,,,,,,,,,,,,,,,,112036,1,general,,general,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.
2025-04-17 13:30:29,2025-04-17 13:32:39,IP Address,174.194.192.208,100,129,True,2025-04-17 13:32:40,R_5CKs7q2aSz4A8CY,Participant,Participant,kpetrova@stanford.edu,111592,37.6403,-122.0667,anonymous,EN,No,,,,,,,,,,,"Hopeful. Thinking towards the future, I’m looking forward to reclaiming my space and being able to live alone peacefully.",Thought about it a lot,100,100,,,,100,,,,,,,,,,,,111592,1,general,,general,
2025-04-17 15:17:24,2025-04-17 15:19:07,IP Address,147.144.3.239,100,103,True,2025-04-17 15:19:08,R_7S6P4RgDNi3Axpy,Participant,Participant,kpetrova@stanford.edu,112036,37.7703,-122.4407,anonymous,EN,No,,,,,,,,,,,I had a frustrating time in a language class when I was unable to understand the task being asked in said language.,Haven't thought about it at all,55,6,5,,5,19,3,5,,,,,,,,,,112036,1,general,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.,general,
2025-04-17 15:19:31,2025-04-17 15:20:46,IP Address,172.56.209.210,100,75,True,2025-04-17 15:20:47,R_6HNfgLGoFjBQqZa,Participant,Participant,kpetrova@stanford.edu,112036,36.2158,-115.066,anonymous,EN,No,,,,,,,,,,,I had a frustrating time in a language class when I couldn't understand the task being asked in the language.,Haven't thought about it at all,69,10,26,1,,10,4,8,,,,,,,,,,112036,1,general,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.,general,
2025-04-17 17:10:07,2025-04-17 17:11:45,IP Address,166.205.87.74,100,98,True,2025-04-17 17:11:46,R_6zeWsw7HFWpR1JQ,Participant,Participant,kpetrova@stanford.edu,111592,37.7201,-122.4414,anonymous,EN,No,,,,,,,,,,,Grateful. Caught up with a best friend who I haven’t seen in a while.,Thought about it a little,96,98,,,,95,,,,,,,,,,,,111592,1,general,,general,
2025-04-17 18:02:09,2025-04-17 18:03:16,IP Address,172.56.42.211,100,67,True,2025-04-17 18:03:17,R_3TvgwmD0auXZrp8,Participant,Participant,kpetrova@stanford.edu,112045,37.7201,-122.4414,anonymous,EN,Yes,What to eat for dinner tonight?? Still don’t know!,0,I did something else not listed above (please describe in the field below),"Checked in with the fam for suggestions ",Thought about it a lot,5,4,0,5,"Yes, I think this situation is resolved",,,,,,,,,,,,,,,,,,,,112045,1,general,,general,What to eat for dinner tonight?? Still don’t know!
2025-04-17 18:08:00,2025-04-17 18:08:52,IP Address,157.131.122.55,100,52,True,2025-04-17 18:08:53,R_7dh8F58SjjTeW3F,Participant,Participant,kpetrova@stanford.edu,111592,37.7506,-122.4121,anonymous,EN,No,,,,,,,,,,,Happiness. Got home from work and school and now I get to hang out on the couch with my dog.,Thought about it a lot,98,97,,,,100,,,,,,,,,,,,111592,1,general,,general,
2025-04-17 20:59:20,2025-04-17 21:00:44,IP Address,73.70.119.135,100,84,True,2025-04-17 21:00:44,R_5oFR5OZGIdnvRBT,Participant,Participant,kpetrova@stanford.edu,112036,37.5742,-122.325,anonymous,EN,No,,,,,,,,,,,"I went out and had a delicious dinner with my mom, or was a good time.",Thought about it a little,70,,14,,0,87,,,,,,,,,,,,112036,1,general,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.,general,
2025-04-18 09:25:35,2025-04-18 09:26:19,IP Address,12.75.128.38,100,43,True,2025-04-18 09:26:19,R_5thZiLHSXiMvwYM,Participant,Participant,kpetrova@stanford.edu,112072,45.5496,-122.5044,anonymous,EN,No,,,,,,,,,,,"Strong negative emotion of worry because today my bf is having wisdom teeth surgery ",Thought about it a lot,19,21,76,,,19,,,,,,,,,,,,112072,1,,,general,
2025-04-18 10:16:38,2025-04-18 10:17:19,IP Address,98.47.29.95,100,40,True,2025-04-18 10:17:19,R_5M3PVCJAHX4vGdF,Participant,Participant,kpetrova@stanford.edu,000000,37.3177,-122.0438,anonymous,EN,No,,,,,,,,,,,"I submitted my dissertation fellowship application ",Thought about it a lot,,62,15,,,21,,,,,,,,,,,,000000,5,general,I regret not being more productive today,general,
2025-04-18 10:31:41,2025-04-18 10:34:09,IP Address,68.65.164.9,100,147,True,2025-04-18 10:34:09,R_6ooIdwVwfGknnUD,Participant,Participant,kpetrova@stanford.edu,111931,37.423,-122.1639,anonymous,EN,No,,,,,,,,,,,I got into an argument with my son last night and I feel I over did it. I think I was an emotional overload to him and I could’ve handled the situation much better. I feel horrible and guilty about it all and I’ve said I’m sorry and I love you a million times.,Couldn't stop thinking about it,45,,40,30,45,20,25,45,,,,,,,,,,111931,1,,,general,
2025-04-18 10:43:17,2025-04-18 10:44:49,IP Address,73.70.119.135,100,92,True,2025-04-18 10:44:50,R_5311N1rFrD4znQ2,Participant,Participant,kpetrova@stanford.edu,112036,37.5742,-122.325,anonymous,EN,No,,,,,,,,,,,I've been anxious since today is the day acceptance results come in from UC Berkeley.,Thought about it a lot,20,,45,,15,28,0,,,,,,,,,,,112036,2,general,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.,general,
2025-04-18 10:48:03,2025-04-18 10:49:13,IP Address,166.205.87.74,100,69,True,2025-04-18 10:49:13,R_5RGEh2EqsQgC4St,Participant,Participant,kpetrova@stanford.edu,111592,37.7201,-122.4414,anonymous,EN,No,,,,,,,,,,,"Relief. It’s Friday! ",Couldn't stop thinking about it,98,99,59,,,98,,,,,,,,,,,,111592,2,general,,general,
2025-04-18 11:03:45,2025-04-18 11:04:26,IP Address,170.85.54.89,100,41,True,2025-04-18 11:04:26,R_3XwGrTcLc69uRP3,Participant,Participant,kpetrova@stanford.edu,112045,34.0544,-118.244,anonymous,EN,Yes,"I ate too many donuts ",99,I tried to accept the situation and my feelings.,,Thought about it a lot,95,,93,,"No, I might feel regret or think more about this situation in the near future",,,,,,,,,,,,,,,,,,,,112045,2,general,What to eat for dinner tonight?? Still don’t know!,followup,"I ate too many donuts "
2025-04-18 11:03:28,2025-04-18 11:03:41,IP Address,170.85.54.89,17,12,False,2025-04-18 12:03:29,R_3qVgk16C6czykFP,Participant,Participant,kpetrova@stanford.edu,112045,34.0544,-118.244,anonymous,EN,Yes,"I ate one too many donuts ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,112045,2,general,What to eat for dinner tonight?? Still don’t know!,followup,
2025-04-18 12:22:55,2025-04-18 12:24:50,IP Address,73.70.119.135,100,115,True,2025-04-18 12:24:50,R_6PcdKC1pPxVWAIA,Participant,Participant,kpetrova@stanford.edu,112036,37.5742,-122.325,anonymous,EN,No,,,,,,,,,,,There was tree trimming going on outside my apartments and my cat got very scared of it and I felt bad for her.,Thought about it a little,14,,27,,11,12,12,,,,,,,,,,,112036,2,general,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.,general,
2025-04-18 12:42:54,2025-04-18 12:44:11,IP Address,166.205.87.74,100,77,True,2025-04-18 12:44:12,R_7qF5WTk689gLzj3,Participant,Participant,kpetrova@stanford.edu,111592,37.7201,-122.4414,anonymous,EN,No,,,,,,,,,,,Annoyance. Kids in class were spreading wrong information about Trump and Musk.,Thought about it a little,,99,59,,,100,,,,,,,,,,,,111592,2,general,,general,
2025-04-18 13:31:46,2025-04-18 13:41:05,IP Address,68.65.164.84,100,558,True,2025-04-18 13:41:05,R_5PZ9dqGNScmlHXT,Participant,Participant,kpetrova@stanford.edu,111931,37.423,-122.1639,anonymous,EN,No,,,,,,,,,,,"I made the decision to go to the gym and show up strong! ",Thought about it a little,30,30,0,,,50,,,,,,,,,,,,111931,1,general,,general,
2025-04-18 13:54:25,2025-04-18 13:54:57,IP Address,73.170.47.203,100,32,True,2025-04-18 13:54:57,R_3dLwKkpzlbNI7DX,Participant,Participant,kpetrova@stanford.edu,112072,37.3313,-121.8401,anonymous,EN,No,,,,,,,,,,,"I felt relieved because my bf’s wisdom teeth surgery went well ",Thought about it a little,65,,,,,59,,,,,,,,,,,,112072,1,general,,general,
2025-04-18 15:25:05,2025-04-18 15:25:54,IP Address,104.129.198.219,100,49,True,2025-04-18 15:25:54,R_3jHOtBAXq56SyMc,Participant,Participant,kpetrova@stanford.edu,112045,34.0544,-118.244,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,92,I tried to distract myself from the event or my emotions.,,Thought about it a little,4,,56,6,"Yes, I think this situation is resolved",112045,2,followup,I ate too many donuts,general,
2025-04-18 15:45:59,2025-04-18 15:46:47,IP Address,73.70.119.135,100,48,True,2025-04-18 15:46:48,R_5uCl4lX31xVJbNn,Participant,Participant,kpetrova@stanford.edu,112036,37.5742,-122.325,anonymous,EN,No,,,,,,,,,,,"Sad, I didn't get into my first choice college ",Thought about it a lot,,,35,17,77,,27,93,,,,,,,,,,112036,2,general,I made a couple simple mistakes on a quiz in class due to carelessness when reading the questions.,general,
2025-04-18 16:10:48,2025-04-18 16:11:13,IP Address,73.170.47.203,100,24,True,2025-04-18 16:11:13,R_6k5ehYHOYdJXFn3,Participant,Participant,kpetrova@stanford.edu,112072,37.3313,-121.8401,anonymous,EN,No,,,,,,,,,,,n/a,Haven't thought about it at all,,,,,,70,,,,,,,,,,,,112072,1,general,,general,
2025-04-18 16:22:42,2025-04-18 16:23:36,IP Address,170.85.54.89,100,54,True,2025-04-18 16:23:37,R_1maa7mx309jIDXS,Participant,Participant,kpetrova@stanford.edu,112045,34.0544,-118.244,anonymous,EN,Yes,I ate an ice cream after complaining about donuts.,100,I turned to someone else for support or comfort.,,Thought about it a lot,6,6,92,5,"No, I might feel regret or think more about this situation in the near future",,,,,,,,,,,,,,,,,,,,112045,2,general,I ate too many donuts,followup,I ate an ice cream after complaining about donuts.
2025-04-18 17:22:54,2025-04-18 17:24:02,IP Address,166.205.87.74,100,68,True,2025-04-18 17:24:03,R_3qvC486MJhzdAOI,Participant,Participant,kpetrova@stanford.edu,111592,37.7201,-122.4414,anonymous,EN,No,,,,,,,,,,,"I’m a little anxious about some coursework that is due, but I’m still very much in the early research phases of it.",Couldn't stop thinking about it,60,89,85,,,92,,,,,,,,,,,,111592,2,general,,general,
